frame,x,y
83,701.423322683706 504.21658206429777 918.834808259587 695.9885993485342 472.76338514680486 639.7250409165302 791.8356374807988 969.5405797101449 694.4919093851132 486.1269565217391 894.4625748502993 691.5838815789474,257.0623003194889 267.69712351945856 261.06489675516224 358.16123778501634 553.6044905008637 564.2929623567923 569.8341013824885 600.0014492753625 707.4676375404532 808.7913043478261 849.1497005988025 836.419407894737
84,697.4380032206119 498.6131260794474 916.4088888888889 692.0178861788618 466.8631578947368 635.1353135313532 788.6174183514775 967.4715328467153 690.4278768233387 480.1892361111111 892.0060606060606 687.4760330578514,257.0708534621578 267.6545768566494 261.22814814814814 358.25365853658536 553.6350877192982 564.1699669966998 569.8071539657853 599.7562043795621 707.228525121556 808.7708333333334 848.3621212121212 836.1438016528924
85,693.6273885350319 492.97948717948714 914.0954478707782 688.2628205128206 460.9691780821917 630.9601328903655 785.6381987577639 965.6671469740633 686.6258064516129 474.44599303135897 889.7324364723468 683.644262295082,257.3105095541402 267.5760683760684 261.51541850220264 358.2355769230769 553.5565068493152 563.983388704319 569.3478260869565 599.2636887608069 706.8774193548388 808.7630662020907 847.6337817638266 835.688524590164
86,689.6088328075709 487.07432432432427 911.6262773722627 684.207336523126 454.98625429553266 626.537216828479 782.4076923076923 963.6536796536797 682.5890850722311 468.6563573883161 887.1973094170404 679.6959349593496,257.4826498422713 267.62668918918916 261.96496350364964 358.3205741626794 553.6701030927835 563.8996763754045 569.3323076923077 598.9826839826841 706.7223113964689 808.8367697594502 846.9521674140509 835.409756097561
87,685.4896988906497 481.0844594594595 908.9307805596466 680.1268057784913 448.8510273972603 621.7642276422764 778.9207317073171 961.3999999999999 678.4000000000001 462.60344827586204 884.7533632286995 675.4749596122779,257.60855784469095 267.6081081081081 262.1502209131075 358.4109149277689 553.8030821917808 563.8113821138212 569.1829268292682 598.6826086956522 706.5152 808.9344827586207 846.3049327354261 835.2003231017771
88,676.4744408945687 468.510101010101 902.8261515601783 670.870607028754 435.86518771331055 611.8896210873147 771.3651771956856 955.8931185944361 669.3413461538462 449.84982935153585 878.407796101949 666.3854838709677,257.8562300319488 267.52356902356894 262.9153046062407 358.4376996805112 553.8293515358362 563.7742998352553 568.9167950693374 597.8931185944363 706.1794871794871 809.037542662116 844.6746626686656 834.4306451612903
89,671.6661316211878 461.9228187919464 899.1220238095239 666.1222222222223 429.0870307167236 606.5072933549433 767.2391975308642 952.7997076023391 664.5638977635783 443.0491525423729 874.9418777943368 661.5610932475885,258.03210272873196 267.42785234899327 263.0550595238095 358.5 553.7935153583618 563.580226904376 568.6666666666666 597.5058479532164 705.761980830671 809.0694915254237 843.9582712369597 834.1945337620579
90,666.9440677966102 455.49737302977235 895.7727272727273 661.3669421487604 422.5441696113075 601.2794612794614 763.1430894308943 949.6348228043146 659.8779264214047 436.576512455516 871.5015673981192 656.9069373942472,258.2186440677967 267.33975481611213 263.5360501567398 358.61487603305784 553.89222614841 563.5757575757576 568.3967479674798 597.1864406779661 705.7157190635452 809.193950177936 843.3902821316616 833.9289340101524
91,662.3923841059602 449.3793103448275 892.48 656.9458128078818 416.26943005181346 596.4612850082373 759.3942766295708 946.8753753753753 655.3366500829186 430.3944153577661 868.417445482866 652.3382838283828,258.4221854304636 267.54137931034484 263.8046153846154 358.5714285714286 553.944732297064 563.495881383855 568.3847376788553 596.993993993994 705.537313432836 809.5130890052357 842.6105919003116 833.5957095709571
92,658.1278317152104 443.6057046979866 889.3987915407855 652.6591639871383 410.27843803056027 591.9686468646864 755.7791601866251 943.9894894894895 651.2184466019419 424.68197278911566 865.3287671232877 648.0554649265905,258.4854368932039 267.42281879194627 263.9924471299093 358.5900321543408 554.0101867572155 563.4653465346535 568.1944012441678 596.5750750750751 705.2896440129449 809.5595238095239 841.8736681887367 833.3621533442088
93,653.2442996742672 437.30899830220716 885.7881097560976 647.8336025848142 403.99488926746164 586.5907590759076 751.5298742138365 940.5151057401813 646.3937908496732 418.0710571923743 861.662015503876 643.3141447368422,258.60749185667754 267.2716468590832 264.3323170731707 358.63166397415193 554.0187393526405 563.437293729373 568.061320754717 596.2749244712991 705.2173202614379 809.7019064124783 841.2434108527132 832.9605263157895
94,642.1461038961039 423.3540268456376 876.4931087289433 636.6878048780488 389.5366269165247 574.7516339869281 741.4905362776025 931.9622356495469 635.1188925081433 403.981228668942 852.5440494590417 632.0065252854812,258.8474025974026 267.16107382550337 265.13476263399696 358.7658536585366 554.0562180579216 563.3284313725491 567.7507886435332 595.6933534743204 704.7231270358307 809.9965870307167 839.8315301391035 832.4796084828712
95,637.0265339966833 417.07142857142856 872.4299065420561 631.8903436988542 383.05470085470085 569.5439469320066 737.134493670886 928.1467889908257 630.2854812398041 397.625641025641 848.6046875 627.176276771005,258.90878938640134 267.0170068027211 265.3504672897196 358.7495908346973 554.0290598290599 563.1907131011609 567.5601265822785 595.2935779816514 704.4600326264274 810.0598290598292 839.15625 832.1894563426688
96,633.0873146622735 411.8252100840336 869.514018691589 627.9624183006536 377.663807890223 565.2892561983471 733.5746031746032 925.2312404287902 626.3576051779935 392.25 845.6329704510109 623.2463054187192,258.9324546952225 267.0336134453782 265.52180685358263 358.6683006535948 554.1526586620926 563.1454545454546 567.4126984126984 594.7350689127105 704.3090614886731 810.2174657534247 838.452566096423 831.9146141215108
97,629.037520391517 406.5119047619047 866.2434514637903 623.9820846905537 372.2282793867121 560.9600665557405 730.1895734597157 922.3628048780488 622.3452188006484 386.97108843537416 842.5916149068322 619.2712418300654,259.0701468189233 266.9183673469388 265.8366718027735 358.8013029315961 554.2776831345825 563.1331114808651 567.2669826224327 594.483231707317 704.2123176661264 810.5051020408164 837.7779503105589 831.7042483660131
98,624.0348258706467 400.16695059625215 861.9575471698113 618.953795379538 365.91638225255974 555.699173553719 725.5153473344103 918.448062015504 617.3795379537954 380.6775300171527 838.4644549763033 614.395041322314,259.2106135986733 266.9352640545145 266.2657232704403 358.98679867986795 554.4641638225256 563.1404958677684 567.2294022617125 594.3813953488373 704.1617161716171 810.9313893653515 837.3333333333333 831.6528925619834
99,618.3387622149837 393.41344537815127 856.9250000000001 613.2414355628059 358.96763202725725 549.8069883527453 720.4552715654952 913.6145510835913 611.7858319604613 373.7760683760684 833.4109375 608.5829228243023,259.4201954397394 266.82016806722686 266.47187499999995 358.99673735725935 554.4735945485519 563.098169717138 567.0702875399361 593.9287925696593 704.0065897858319 811.0034188034186 836.5937499999999 831.487684729064
100,612.8260869565217 386.8419243986254 852.0499194847021 607.7762938230384 352.03645833333326 543.9224283305226 715.0422077922077 908.6803797468353 606.1224832214764 366.986230636833 828.4577352472088 602.9949238578679,259.38127090301003 266.6357388316152 266.597423510467 358.97161936560934 554.3315972222222 562.9494097807757 566.8068181818181 593.5696202531645 703.6728187919463 811.0619621342513 835.8022328548645 830.9881556683587
101,608.064039408867 381.0051194539249 847.9746434231379 603.1480263157895 346.1925042589437 539.0505050505051 710.9111470113086 904.7461059190031 601.623973727422 361.2555366269165 824.5885167464115 598.5761589403974,259.30541871921184 266.53071672354946 266.8700475435816 358.8256578947368 554.3713798977853 562.8905723905724 566.5201938610662 593.202492211838 703.4860426929393 811.2299829642249 835.116427432217 830.7947019867551
102,603.8686371100164 375.92542372881354 844.3152000000001 599.0182119205298 341.1209540034072 534.8926174496644 707.1925566343042 901.4552590266876 597.5287356321838 356.0803418803419 821.2142857142857 594.3805601317957,259.48111658456486 266.42033898305084 267.2128 359.00993377483445 554.626916524702 562.9580536912752 566.5194174757282 592.9968602825746 703.4761904761905 811.6683760683761 834.5809523809523 830.691927512356
103,599.4426229508197 370.4494195688226 840.4347133757963 594.6490939044481 335.5222602739726 530.1371237458194 703.0546623794213 897.6234375 593.0707236842104 350.73096446700515 817.377990430622 590.0248344370862,259.5590163934427 266.4278606965175 267.4331210191083 359.04283360790777 554.9195205479452 563.081939799331 566.5225080385852 592.7828125 703.4736842105265 812.1235194585448 834.2216905901117 830.683774834437
104,593.988543371522 363.9463986599666 835.3587301587303 589.1299342105264 329.0118243243243 524.3201970443351 697.7806451612904 892.5732283464567 587.6584564860427 344.1610169491526 812.4133545310016 584.500823723229,259.70867430441905 266.2294807370185 267.68095238095236 359.0657894736842 554.9054054054054 562.9835796387521 566.3725806451614 592.4141732283465 703.305418719212 812.1898305084745 833.5055643879174 830.4464579901154
105,587.9705400981996 357.3416666666667 829.6793650793652 583.2758620689655 322.3147208121827 518.4884868421054 692.3258064516131 887.3080568720379 581.8245033112582 337.4991568296796 806.8775834658188 578.6808510638298,259.5842880523732 265.96500000000003 267.8 358.8620689655173 554.8747884940778 562.7615131578948 566.1241935483871 591.8183254344392 702.9950331125829 812.2091062394605 832.5866454689985 830.0736497545009
106,582.7286184210527 351.1680672268908 824.5942947702061 578.1633663366338 316.0320945945946 512.9866888519135 687.1430894308944 882.3301737756714 576.4967105263158 331.2806722689076 802.0079744816588 573.3946932006634,259.63815789473676 265.8453781512605 268.1014263074485 358.93399339933995 554.8716216216216 562.8053244592346 565.8178861788618 591.6271721958926 702.8815789473683 812.5159663865545 832.1339712918659 829.8723051409617
107,578.3371522094926 346.0167224080267 820.5307443365696 573.7578772802653 311.044142614601 508.41584158415844 683.069918699187 878.2734499205087 572.2119205298014 326.26858108108104 798.0047619047618 569.0951585976628,259.82978723404256 265.8829431438127 268.43365695792875 359.0729684908789 555.1324278438029 562.8712871287129 565.7951219512195 591.4864864864865 702.8774834437086 812.9898648648648 831.6365079365078 830.0100166944907
108,573.9034941763728 340.9731092436975 816.3964401294498 569.3499170812605 305.8532423208191 503.94444444444446 678.9272727272727 874.2604501607717 567.9664429530201 321.1235194585448 794.0454545454545 564.8705882352941,259.88519134775373 265.8302521008403 268.6472491909385 359.0961857379767 555.2747440273038 562.9983164983165 565.9190082644628 591.2781350482314 702.9395973154361 813.5008460236886 831.2532467532468 829.9932773109243
109,568.8907284768211 335.3228476821192 811.4365971107543 564.3579638752052 300.03517587939695 498.8896321070234 674.1082390953151 869.3878205128206 562.9685430463576 315.3631756756756 789.2629032258064 559.8236272878535,259.9337748344371 265.6192052980133 268.8073836276084 359.0574712643678 555.356783919598 562.9347826086957 565.7172859450727 590.8125 702.6473509933775 813.739864864865 830.5258064516129 829.7154742096506
110,562.9867768595042 328.6507413509061 805.4976152623211 558.5188216039279 293.51320132013194 492.73070607553365 668.2866344605475 863.4688 556.9787581699347 308.91471571906357 783.453821656051 553.8519736842105,259.87438016528927 265.329489291598 268.97138314785366 358.97708674304414 555.3465346534653 562.7651888341543 565.415458937198 590.4239999999999 702.4444444444443 813.9080267558527 829.7802547770698 829.4490131578946
111,557.358803986711 322.49 799.842019543974 552.8388704318937 287.26013513513516 487.02010050251255 662.7892156862745 857.7548701298701 551.387417218543 302.5050505050506 777.7960848287113 548.1204013377926,259.8322259136213 265.1383333333333 269.17263843648215 359.0199335548173 555.3462837837837 562.7035175879398 565.2859477124183 590.0779220779222 702.4072847682119 814.2390572390573 829.2610114192497 829.2424749163881
112,552.4159869494289 317.15973377703824 794.9322580645161 548.174917491749 281.8654485049834 482.19800332778703 658.2162601626017 853.1239935587762 546.576354679803 297.18518518518516 773.3355048859935 543.455737704918,259.9869494290375 265.15474209650574 269.53548387096777 359.06765676567653 555.6129568106312 562.8386023294509 565.3121951219512 590.0933977455716 702.5041050903119 814.7491582491582 828.8045602605863 829.3885245901638
113,548.1376451077942 312.375415282392 790.753289473684 543.9483333333333 277.0755033557047 477.8322259136212 653.8522167487685 848.6801948051948 542.406611570248 292.6270903010033 769.1348684210525 539.205685618729,260.1442786069652 265.02990033222596 269.6019736842105 359.06333333333333 555.8825503355705 562.9700996677741 565.2298850574713 589.6590909090909 702.5338842975207 815.2040133779265 828.388157894737 829.2876254180603
114,543.1954022988506 307.17763157894734 785.5426731078907 539.0133111480866 271.93656093489153 472.9302325581396 649.0736497545008 843.636215334421 537.5323383084577 287.265100671141 764.1773399014778 534.3933884297521,259.855500821018 264.7828947368421 269.7455716586151 359.0366056572379 555.9465776293822 562.8704318936876 565.0376432078558 589.3507340946167 702.3333333333333 815.4496644295302 827.8637110016421 829.1074380165288
115,537.4766666666667 300.9750830564784 779.5799011532126 533.3619834710745 265.7454242928453 467.15268456375844 643.3262295081969 837.6513157894738 531.9148580968282 281.18350168350173 758.3858784893268 528.7130872483223,259.8933333333333 264.45847176079735 269.843492586491 358.9289256198348 555.9833610648918 562.7399328859061 564.8049180327868 588.8700657894736 702.0083472454091 815.6599326599327 827.144499178982 828.9580536912752
116,531.5148514851484 294.80132450331126 773.3300492610838 527.3986820428336 259.39434276206316 461.06301824212267 637.3004926108374 831.2901639344262 525.8779264214047 274.94 752.2339373970345 522.6661101836393,259.95049504950487 264.36920529801324 270.3957307060755 359.0016474464579 556.0099833610648 562.7860696517413 564.8243021346469 588.7377049180327 702.0551839464883 816.1316666666667 826.7907742998351 828.9048414023371
117,526.4264462809917 289.39610389610397 768.0082781456955 522.3421052631579 254.2132231404959 456.09000000000003 632.311986863711 825.9459016393444 520.9483333333334 269.60232945091514 746.9752475247526 517.6981450252952,260.03471074380167 264.18668831168833 270.5380794701987 359.0625 556.3338842975206 562.9116666666666 564.7536945812808 588.5885245901641 702.2033333333334 816.7420965058237 826.3547854785479 829.0387858347387
118,521.9022801302932 284.7892156862745 763.2029702970297 518.1518151815181 249.64401294498379 451.8887043189369 627.98352553542 821.2345276872965 516.6408566721581 265.03782894736844 742.6296900489397 513.5263157894736,260.0895765472313 264.045751633987 270.6419141914191 359.04290429042914 556.3948220064725 562.9800664451828 564.7084019769358 588.2785016286646 702.0988467874794 817.1710526315791 825.8352365415988 828.8684210526317
119,517.2824675324675 280.0472312703583 758.1816693944355 513.4373983739837 244.88709677419354 447.25653594771245 623.2820097244734 815.9867109634552 511.9655737704918 260.40130505709624 737.6307189542483 508.8778877887788,259.89935064935065 263.77687296416934 270.6399345335515 358.9430894308943 556.540322580645 562.7565359477125 564.4343598055106 587.9169435215946 702.0245901639345 817.4796084828711 825.3235294117648 828.7491749174916
120,511.96511627906983 274.55032467532465 752.20367278798 508.0610561056107 239.45888157894737 441.9267886855242 617.6897689768977 810.0216306156406 506.65016501650166 254.8585690515807 731.8455149501661 503.50167224080275,259.9734219269103 263.5957792207792 270.864774624374 358.96534653465346 556.5180921052631 562.7986688851914 564.2689768976896 587.5873544093178 701.9422442244224 817.8885191347754 824.8471760797344 828.7324414715719
121,505.93802345058623 268.52295081967213 745.7929292929293 502.295 233.5066225165563 436.04674457429047 611.6505016722408 803.4823529411764 500.8510998307952 248.76079734219266 725.6312292358803 497.63139931740614,259.99664991624786 263.4065573770491 271.08754208754203 358.9266666666667 556.6705298013245 562.8848080133556 564.3076923076923 587.4773109243696 701.9915397631133 818.3986710963454 824.516611295681 828.759385665529
122,500.3450000000001 263.00162074554294 739.8096828046745 496.8141447368422 227.98846787479408 430.58374792703154 606.0469011725293 797.2029702970297 495.23205342237065 243.27960526315786 719.752508361204 492.0016778523491,259.94 263.3679092382495 271.3489148580968 359.01480263157896 556.8995057660626 563.0265339966833 564.1943048576215 587.3069306930693 702.0233722871452 818.9095394736842 824.0903010033444 828.8909395973154
123,495.4212271973466 258.1845140032949 734.108695652174 491.7582236842105 223.12234910277326 425.73797678275287 600.9933444259567 791.5283333333334 490.41 238.52435064935065 714.3741721854303 487.27303182579567,259.8142620232172 263.05601317957166 271.36287625418055 359.0065789473684 557.1060358890702 563.0099502487561 564.2046589018302 586.9883333333332 701.985 819.3376623376623 823.6738410596025 828.8375209380234
124,490.8824503311258 253.70759289176092 728.9071310116086 487.35667752443 218.88654781199355 421.4016393442624 596.2939244663382 786.2378559463987 485.9752883031302 234.36850649350646 709.3416252072969 482.91196013289044,259.6920529801325 262.6768982229403 271.3665008291874 358.83224755700326 557.1118314424635 562.8 563.9638752052546 586.6750418760469 701.8500823723228 819.6850649350649 823.0895522388059 828.7275747508305
125,486.20033112582774 249.12724306688418 723.4725457570714 482.8019801980198 214.57165861513684 416.8552412645591 591.4316666666666 780.6220735785953 481.3725165562914 229.8694942903752 704.1409395973154 478.3205342237062,259.7847682119206 262.5448613376836 271.6239600665558 358.90264026402645 557.4412238325282 562.9267886855242 563.92 586.4013377926422 701.8129139072848 820.2185970636217 822.7466442953022 828.7929883138565
126,480.7577741407528 244.1621621621622 717.3621262458471 477.3571428571428 209.5287539936102 411.5672131147541 585.816091954023 774.3577371048251 475.9686468646865 224.68971061093245 698.1374172185431 472.9600665557403,259.87725040916524 262.4531001589825 271.782392026578 358.8896103896103 557.5926517571884 563.0901639344262 563.9852216748768 586.3227953410982 701.8976897689768 820.7331189710611 822.3874172185431 828.9051580698834
127,474.9483333333334 238.51701782820098 710.7851099830797 471.62828947368433 203.90453074433657 405.9783333333334 579.8868552412646 767.5775127768314 470.24455611390283 219.2100977198697 691.8395270270271 467.21105527638196,259.78333333333336 262.2706645056726 271.9238578680203 358.8815789473685 557.7233009708738 563.115 563.8768718801997 586.1345826235093 702.0251256281408 821.384364820847 822.0354729729731 828.959798994975
128,469.46393442622957 233.3880837359098 704.3424190800682 466.3169934640524 199.00652528548125 400.7123966942149 574.0483333333333 760.9795918367347 464.89166666666665 214.1479674796748 685.5000000000001 461.80634390651085,259.5688524590164 261.8357487922705 272.01022146507665 358.7238562091503 557.836867862969 563.1239669421487 563.7966666666666 585.8707482993198 701.95 821.6861788617886 821.575 828.9415692821369
129,464.8465346534654 229.1253968253968 698.7807757166947 461.5753646677472 194.78044871794873 396.2158154859967 569.1421487603305 755.1500843170319 460.2211055276382 209.92776886035313 680.1214165261382 457.2089552238806,259.6171617161716 261.56349206349205 272.0455311973019 358.6191247974068 557.9375 563.0675453047777 563.6148760330578 585.5092748735245 701.9514237855947 822.2985553772071 821.1669477234402 828.9966832504147
130,460.0263591433279 224.8426966292135 693.0494880546075 456.9258649093905 190.61316211878008 391.7549668874172 564.1711409395972 749.3056027164686 455.65776293823035 205.65528455284547 675.001689189189 452.59090909090907,259.63426688632615 261.4959871589085 272.18941979522185 358.74464579901155 558.2375601926163 563.1639072847682 563.6560402684564 585.2597623089983 702.0651085141903 822.749593495935 820.981418918919 828.9983164983165
131,455.00327868852463 220.3328025477707 687.0570469798657 452.03109656301154 186.28050713153723 387.1447154471545 558.7504132231405 743.1013513513514 450.74590163934425 201.31061806656103 669.0270270270271 447.66222961730455,259.58688524590156 261.328025477707 272.30369127516775 358.70212765957444 558.499207606973 563.3300813008129 563.5388429752066 585.1097972972973 702.0147540983606 823.3676703645008 820.6013513513514 829.179700499168
132,449.5690789473684 215.44145569620255 680.473949579832 446.6188925081434 181.65923566878985 381.8267326732673 553.0453781512605 736.2534246575342 445.2479061976549 196.54662379421222 662.7747440273038 442.3523489932886,259.53618421052636 261.1091772151899 272.4638655462185 358.6807817589577 558.611464968153 563.3267326732674 563.5647058823531 585.0239726027398 702.1624790619767 823.7942122186496 820.1860068259388 829.1946308724833
133,444.15548281505727 210.70541401273888 673.9814502529509 441.3596774193548 176.98582677165354 376.5623987034036 547.301482701812 729.4704890387859 439.95507487520797 191.7786624203822 656.3526405451446 436.9481605351171,259.3518821603928 260.6369426751592 272.4451939291737 358.55000000000007 558.6393700787402 563.3095623987034 563.3278418451401 584.6677908937605 702.0216306156406 824.375796178344 819.916524701874 829.1789297658864
134,439.3609756097561 206.3640699523053 667.8333333333334 436.4071661237785 172.78783151326053 372.03273322422257 541.860696517413 723.1962457337885 435.10909090909087 187.63116057233702 650.4536256323778 432.1865546218487,259.3089430894309 260.48807631160565 272.5187074829932 358.51140065146575 558.9157566302652 563.3453355155483 563.2968490878939 584.4590443686006 702.211570247934 824.9316375198728 819.618887015177 829.3126050420169
135,434.33497536945816 202.26409017713365 661.8262350936967 431.57283142389525 168.7615262321145 367.5277777777778 536.5866666666667 716.8264604810997 430.2996688741722 183.61648177496042 644.7116040955633 427.25963149078734,259.2807881773399 260.37520128824474 272.71379897785357 358.4713584288053 559.3020667726552 563.4836601307189 563.3300000000002 584.4123711340206 702.2913907284769 825.5087163232963 819.2354948805461 829.5477386934673
136,429.1416803953871 197.69826224328594 655.2082616179001 426.3963815789473 164.6253968253968 362.5016447368421 531.0372881355934 710.1764705882352 425.1878088962109 179.36783439490443 638.4027538726334 422.2347972972973,259.1103789126854 259.9273301737757 272.85714285714283 358.4358552631579 559.3269841269841 563.5625 563.2440677966102 584.1799307958478 702.3706754530477 826.1003184713376 819.0086058519794 829.6452702702703
137,423.6151315789473 193.10485133020342 648.3732876712329 421.0309446254072 160.0486656200942 357.4616639477977 524.9498327759197 703.0204429301533 419.69256198347114 174.73259493670884 631.7924528301888 416.76806722689076,258.9983552631579 259.4960876369327 272.85616438356163 358.33224755700326 559.4348508634223 563.4959216965742 563.1739130434784 583.9420783645655 702.3735537190081 826.5712025316456 818.728987993139 829.6705882352941
138,418.644844517185 188.9423676012461 642.1061643835617 416.0898692810457 156.21671826625388 352.7378640776699 519.5066225165563 696.2191780821919 414.7281713344317 170.7104430379747 625.6954314720812 411.84511784511784,258.9378068739771 259.4190031152648 272.9503424657534 358.27450980392155 559.6563467492261 563.6796116504854 563.1605960264902 583.7482876712329 702.5304777594729 827.238924050633 818.3350253807108 829.8013468013468
139,413.7920133111481 185.1513260530421 635.8037865748709 411.33934426229507 152.47441860465116 348.3784665579119 514.2520868113522 689.9268292682926 410.1483333333333 167.16746411483254 619.7452667814114 407.27702702702703,258.9467554076539 259.17784711388464 273.053356282272 358.23114754098367 559.9364341085271 563.6329526916804 563.1168614357263 583.5226480836237 702.5683333333335 827.8500797448166 818.1497418244408 829.9020270270271
140,409.07223113964693 181.37251908396948 629.586956521739 406.65814696485626 149.05864661654135 343.9433070866142 509.029605263158 683.2635135135137 405.4743589743589 163.52534562211986 613.9093959731543 402.6769983686786,258.76886035313004 258.90992366412206 273.1170568561873 358.202875399361 560.0781954887218 563.6582677165354 563.0855263157894 583.393581081081 702.6955128205127 828.4884792626729 817.9496644295302 830.2104404567699
141,403.6227642276422 177.05828220858896 622.7905405405404 401.39297124600637 144.8599397590361 339.0529695024076 503.04166666666674 676.1264957264956 400.07003257328984 159.1947852760736 607.1216216216217 397.37664473684197,258.6130081300813 258.5720858895706 273.1030405405405 357.9840255591055 560.1581325301205 563.7945425361156 563.0200000000001 583.1521367521367 702.6612377850162 829.1441717791411 817.6537162162163 830.15625
142,398.1625615763547 172.61526479750776 615.7625649913344 396.0099502487563 140.7686335403727 333.96241830065367 497.01689189189176 668.6961805555557 394.77190082644626 155.0015625 600.3129251700681 392.107202680067,258.48111658456486 258.16199376947037 273.11958405545926 357.922056384743 560.4285714285714 563.8284313725491 562.9510135135135 582.9652777777778 702.7636363636364 829.6484375000001 817.2823129251701 830.4539363484085
143,392.98509933774835 168.692426584235 609.0034722222222 390.91457286432154 136.97380585516177 329.16447368421046 491.1254180602006 661.696335078534 389.69028006589787 151.05772230889235 593.9896193771626 387.0890756302521,258.3990066225165 257.9613601236476 273.14062499999994 357.9179229480737 560.5993836671803 563.939144736842 563.0484949832776 582.9406631762652 702.9489291598023 830.3853354134164 817.1885813148789 830.7193277310924
144,388.4689984101749 165.42771982116244 602.8375209380233 386.50393700787396 134.0162721893491 325.2115085536547 486.14448051948045 655.0488215488215 385.32222222222214 148.00298953662178 587.9667774086379 382.63987138263667,258.37837837837844 257.7660208643815 273.30485762144053 357.87401574803147 560.9644970414201 564.2068429237947 562.9480519480519 582.8922558922559 703.2031746031746 831.0597907324365 817.0913621262459 830.9581993569132
145,383.6360759493671 162.00588235294117 596.2337228714524 381.68296529968455 130.8468335787923 320.74568288854005 480.6952998379254 648.3193277310925 380.496835443038 144.86397608370703 581.8 378.1558028616852,258.1819620253165 257.36323529411766 273.34724540901504 357.71451104100953 561.176730486009 564.2605965463108 562.8476499189627 582.6033613445379 703.1882911392405 831.8251121076233 816.7899159663864 831.0620031796503
146,378.55329153605027 158.2551622418879 589.555 376.7795275590551 127.52562225475843 316.415625 475.1440129449839 641.2996632996633 375.6588050314465 141.30588235294115 575.4049586776861 373.3460925039872,257.9623824451411 257.0929203539823 273.1066666666667 357.6204724409448 561.2825768667643 564.1671875 562.7168284789643 582.2592592592592 703.2672955974842 832.2985294117647 816.3983471074379 831.0781499202552
147,373.52215189873425 154.58832335329345 582.7579831932773 371.859872611465 124.03823529411765 311.7030015797789 469.2868852459017 634.0017064846417 370.7363344051448 137.86227544910182 568.8730964467005 368.39872408293473,257.9525316455696 256.8188622754491 273.21176470588233 357.56847133757964 561.6044117647059 564.2890995260664 562.7704918032788 582.2116040955633 703.4565916398714 833.0359281437126 816.2707275803724 831.4385964912279
148,368.76107594936707 151.3159463487332 576.1922428330523 367.3386075949367 121.14390602055798 307.6771159874608 463.94581280788174 627.2796610169491 366.1613924050633 134.82422451994094 562.8274111675127 363.89698890649765,257.79588607594934 256.68256333830107 273.37942664418205 357.63924050632903 561.9632892804698 564.5391849529781 562.9277504105089 582.1949152542372 703.6376582278481 833.9350073855244 816.2199661590524 831.7797147385102
149,364.23101265822777 148.08504398826977 569.7766666666665 362.6015748031496 118.17296511627906 303.56366459627327 458.62236628849274 620.4482173174873 361.57770800627935 131.8722466960352 556.555 359.459587955626,257.751582278481 256.4472140762464 273.37500000000006 357.66141732283467 562.2281976744187 564.6459627329192 562.9238249594814 582.0577249575551 703.9309262166406 834.6490455212924 816.1533333333333 832.0158478605389
150,354.8328220858896 141.624466571835 556.7063621533443 353.46932515337426 112.42636746143057 295.1285930408472 447.8645669291339 606.6633663366337 352.4605873261206 125.7988587731812 544.2231270358307 350.3748079877112,257.2990797546012 255.79089615931719 273.25122349102776 357.24233128834356 562.6058906030855 564.7927382753404 562.6881889763779 581.6138613861385 704.0200927357032 835.6947218259629 815.6563517915308 832.411674347158
151,350.17981072555204 138.45937961595277 550.2791878172587 348.6830427892234 109.46176046176048 290.8705148205928 442.4327390599675 599.9212328767123 347.70820189274446 122.67352941176468 537.8510998307953 345.70504731861195,257.27129337539435 255.3781388478582 273.2030456852792 357.4183835182251 562.8513708513709 564.8159126365056 562.8136142625609 581.6044520547946 704.3927444794954 836.4794117647059 815.6598984771575 832.6025236593063
152,345.4960254372019 135.39189189189193 543.9897084048029 344.21061093247596 106.6568914956012 286.70347003154575 437.20099667774093 593.0751748251748 343.37600000000003 119.75558867362147 531.8427350427352 341.32367149758454,257.22575516693166 255.2012012012012 273.2332761578045 357.3022508038585 563.0483870967743 564.9826498422713 562.9667774086378 581.6783216783216 704.536 837.2578241430699 815.7709401709402 833.02576489533
153,341.408 132.63501483679522 538.1073253833049 339.98550724637676 104.14598540145984 283.0707547169811 432.31946755407654 586.9392361111111 339.21578099838973 117.08456973293768 526.0633561643834 337.1394611727417,257.07199999999995 254.93620178041536 273.15161839863714 357.2946859903381 563.2408759124088 565.2264150943395 562.8752079866889 581.6197916666665 704.6409017713364 837.8679525222551 815.5941780821918 833.2694136291601
154,337.85167464114835 130.4468704512373 532.9505962521295 336.4889589905363 102.29565217391303 280.02028081123245 427.96649916247907 581.171875 335.5913461538461 115.16029411764703 520.9573378839591 333.61526232114466,256.64593301435406 254.52838427947597 273.1175468483816 357.1119873817035 563.2840579710146 565.1684867394696 562.8860971524289 581.3333333333335 704.5689102564104 838.2823529411766 815.4726962457338 833.3942766295708
155,331.63693270735524 127.16738816738818 523.4882154882155 330.49843260188084 99.51914893617021 274.8085758039816 420.642972536349 571.1295336787565 329.6431924882629 112.09315866084422 512.1332209106239 327.70625,256.6744913928012 254.11399711399704 273.26430976430976 356.99529780564256 563.6992907801417 565.3139356814701 562.7495961227787 581.2124352331606 704.9827856025038 839.2430858806405 815.2883642495784 833.7531249999998
